#sample	chromosome	dataset_name0	dataset_name1	file_name0	file_name1	intersection_blocks	covered_variants	all_assessed_pairs	all_switches	all_switch_rate	all_switchflips	all_switchflip_rate	blockwise_hamming	blockwise_hamming_rate	blockwise_diff_genotypes	blockwise_diff_genotypes_rate	largestblock_assessed_pairs	largestblock_switches	largestblock_switch_rate	largestblock_switchflips	largestblock_switchflip_rate	largestblock_hamming	largestblock_hamming_rate	largestblock_diff_genotypes	largestblock_diff_genotypes_rate	het_variants0	only_snvs
HG02622	chr11	truth	pipeline	phasing/HG02622.truth.vcf.gz	phasing/HG02622.pipeline.vcf.gz	1	17	16	0	0.0	0/0	0.0	0	0.0	0	0.0	16	0	0.0	0/0	0.0	0	0.0	0	0.0	31	0
HG02622	chr16	truth	pipeline	phasing/HG02622.truth.vcf.gz	phasing/HG02622.pipeline.vcf.gz	1	6	5	0	0.0	0/0	0.0	0	0.0	0	0.0	5	0	0.0	0/0	0.0	0	0.0	0	0.0	10	0
