evaluation_id	cohort	region	variant_type	tp	fn	fp	recall	precision	truth_source	comparison	source_script	note
pooled_core_snv	HG002;HG02071;HG02083;HG02514;HG02074;HG02622	HBA/HBB core	SNV	140	5	1	0.9655172413793104	0.9929078014184397	GIAB v4.2.1 high-confidence for HG002; HPRC diploid assembly-derived callsets for five genomes	hap.py v0.3.12	run_happy.sh	Pooled result snapshot across HG002 plus five HPRC genomes; raw per-sample hap.py CSV files are external.
pooled_core_indel	HG002;HG02071;HG02083;HG02514;HG02074;HG02622	HBA/HBB core	INDEL	14	8	5	0.6363636363636364	0.7368421052631579	GIAB v4.2.1 high-confidence for HG002; HPRC diploid assembly-derived callsets for five genomes	hap.py v0.3.12	run_happy.sh	Pooled result snapshot across HG002 plus five HPRC genomes; indels are the main observed limitation.
pooled_beta_gene_body_snv	HG002;HG02071;HG02083;HG02514;HG02074;HG02622	HBB/HBD/HBG1/HBG2/HBE1 gene bodies	SNV	156	5	1	0.968944099378882	0.9936305732484076	GIAB v4.2.1 high-confidence for HG002; HPRC diploid assembly-derived callsets for five genomes	hap.py v0.3.12	run_happy.sh	Gene-body result; excludes intergenic and locus-control-region sequence.
pooled_beta_gene_body_indel	HG002;HG02071;HG02083;HG02514;HG02074;HG02622	HBB/HBD/HBG1/HBG2/HBE1 gene bodies	INDEL	31	18	3	0.6326530612244898	0.9117647058823529	GIAB v4.2.1 high-confidence for HG002; HPRC diploid assembly-derived callsets for five genomes	hap.py v0.3.12	run_happy.sh	Gene-body result; excludes intergenic and locus-control-region sequence.
pooled_beta_full_interval_snv	HG002;HG02071;HG02083;HG02514;HG02074;HG02622	extended beta-globin interval including intergenic and LCR sequence	SNV	788	84	49	0.9036697247706422	0.9414575866188769	GIAB v4.2.1 high-confidence for HG002; HPRC diploid assembly-derived callsets for five genomes	hap.py v0.3.12	run_happy.sh	Precision loss is concentrated outside the globin gene bodies in the recorded analysis.
giab_hg002_globin_small_variants	HG002	globin targets intersected with GIAB v4.2.1 high-confidence BED	SNV+INDEL	23	0	0	1.0	1.0	GIAB HG002 v4.2.1 benchmark VCF and high-confidence BED	bcftools norm + isec	giab_HG002.sh	Overlaps the HG002 sample included in the pooled hap.py rows; it is not an additional independent sample.
